sku_produto_final,produto_final,sku_item,descricao_item,qtd_padrao,unidade
00504009,Sakaguchi - Chocolate 78% Cacau - 50g,9990307005,Manteiga de Cacau Yanomami terc,0.002,KG
00504009,Sakaguchi - Chocolate 78% Cacau - 50g,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504009,Sakaguchi - Chocolate 78% Cacau - 50g,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.002372,KG
00504010,Bombom Chocolate com café 150g,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.1425,KG
00504010,Bombom Chocolate com café 150g,0050105001,Bombom de Chocolate,0.1425,KG
00504010,Bombom Chocolate com café 150g,03301011001,Café em pó - Apuí,0.0075,KG
00504010,Bombom Chocolate com café 150g,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.09405,KG
00504010,Bombom Chocolate com café 150g,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.09405,KG
00504010,Bombom Chocolate com café 150g,0050303003,Nibs de Cacau - Sakaguchi(PA),0.0855,KG
00504010,Bombom Chocolate com café 150g,0050304004,Liquor de Cacau - Sakaguchi (PA),0.0855,KG
00504010,Bombom Chocolate com café 150g,0140106004,Açúcar Demerara,0.04275,KG
00504010,Bombom Chocolate com café 150g,9990307005,Manteiga de Cacau Yanomami terc,0.01995,KG
00504010,Bombom Chocolate com café 150g,0050301008,Bombom de Chocolate e Café,0.15,KG
00504010,Bombom Chocolate com café 150g,0190212021,Selo para Embalagem Prisma,2,UN
00504010,Bombom Chocolate com café 150g,0190213019,Embalagem Prisma - Bombom chocolate com,1,UN
00504010,Bombom Chocolate com café 150g,0190214023,Cartão Surpresa MINI - Prima Stampa,1,UN
00504010,Bombom Chocolate com café 150g,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00504010,Bombom Chocolate com café 150g,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
00504010,Bombom Chocolate com café 150g,9990115001,SAQUINHO BIODEGRADAVEL COMPOSTAVEL,0.0033,KG
00504010,Bombom Chocolate com café 150g,9990712002,ETIQUETA PARA QR CODE 40x40mm,1,UN
00504010,Bombom Chocolate com café 150g,0070301006,Amêndoa de Cacau Seca Aprovada - Yanomam,0.023665,KG
00504011,Biscoito de castanha do Pará com chocola,0050301007,Amêndoa de Cacau Seca Aprovada - Sakaguc,0.046236,KG
00504011,Biscoito de castanha do Pará com chocola,0050302002,Amêndoa de Cacau Torrada - Sakaguchi(PA),0.046236,KG
00504011,Biscoito de castanha do Pará com chocola,0050303003,Nibs de Cacau - Sakaguchi(PA),0.042033,KG
00504011,Biscoito de castanha do Pará com chocola,0050304004,Liquor de Cacau - Sakaguchi (PA),0.042033,KG
00504011,Biscoito de castanha do Pará com chocola,0140106004,Açúcar Demerara,0.021017,KG
00504011,Biscoito de castanha do Pará com chocola,9990307005,Manteiga de Cacau Yanomami terc,0.009808,KG
00504011,Biscoito de castanha do Pará com chocola,0050108008,Biscoito de castanha do Pará,0.079645,KG
00504011,Biscoito de castanha do Pará com chocola,0050111002,Aromatizante Puxuri,3e-05,KG
00504011,Biscoito de castanha do Pará com chocola,0050305009,Massa de Chocolate - Chocolate 60% - Sak,0.070055,KG
00504011,Biscoito de castanha do Pará com chocola,9990111001,Flor de Sal,0.00027,KG
00504011,Biscoito de castanha do Pará com chocola,0050308011,Biscoito de castanha do Pará banhado com,0.15,KG
00504011,Biscoito de castanha do Pará com chocola,0190212021,Selo para Embalagem Prisma,2,UN
00504011,Biscoito de castanha do Pará com chocola,0190213018,Embalagem Prisma - Biscoito de Castanha,1,UN
00504011,Biscoito de castanha do Pará com chocola,0190214023,Cartão Surpresa MINI - Prima Stampa,1,UN
00504011,Biscoito de castanha do Pará com chocola,9970212003,ETIQ ADESIVA | PAPEL COUCHE A20-C | 30X3,1,UN
00504011,Biscoito de castanha do Pará com chocola,9970212004,ETIQ PIMACO A4348 LASER 100F 9600UND,1,UN
