sku,descricao,categoria_produto,unidade
0050305014,PP LÍNGUA DE ONÇA 11G AO LEITE,Produto em Processo,PC
0050305015,PP LÍNGUA DE ONÇA 11G PRALINÉ,Produto em Processo,PC
0050305016,PP LÍNGUA DE ONÇA 5G INTENSO,Produto em Processo,PC
0050305017,PP LÍNGUA DE ONÇA 11G INTENSO,Produto em Processo,PC
0050305018,PP LÍNGUA DE ONÇA CUPUAÇU 5G,Produto em Processo,PC
0050305019,PP LÍNGUA DE ONÇA CUPUAÇU 11G,Produto em Processo,PC
0050305020,PP Língua de Onça intenso Praliné 5G,Produto em Processo,UN
0050305021,PP Língua de Onça intenso Praliné 11G,Produto em Processo,UN
0050305022,MASSA DE CHOCOLATE  SAKAGUCHI 78 2025,Produto em Processo,KG
0050305023,FORMIGUEIRO AVELÃ 16g,Produto em Processo,UN
0050305024,FORMIGUEIRO PISTACHE 16g,Produto em Processo,UN
0050305025,FORMIGUEIRO MARACUJÁ 16g,Produto em Processo,UN
0050305026,Mini Lua Cheia Ao Leite 10g,Produto em Processo,UN
0050305027,Massa de Chocolate Chocotone Sakaguchi,Produto em Processo,KG
0050305028,Massa de Chocolate Chocotone Bites Saka,Produto em Processo,KG
0050305029,Chocotone 550g,Produto em Processo,PC
0050305030,Massa de Chocolate - Sakaguchi teste INT,Produto em Processo,KG
0050305031,Massa de Chocolate - Teste Blend,Produto em Processo,PC
0050305032,Barra Recheada Maracujá 29g,Produto em Processo,PC
0050305033,Barra Recheada Cupuaçu 29g,Produto em Processo,PC
0050305034,Barra Recheada Pistache 29g,Produto em Processo,PC
0050305035,Massa Choco ao leite com Castanha Pará,Produto em Processo,KG
0050305036,Massa de Chocolate ao Leite - Reprocesso,Produto em Processo,KG
0050305037,PP Língua de Onça 5G Moju Intenso,Produto em Processo,PC
0050305038,PP L.Onça Ao Leite Zero Açúcar 11G,,PC
0050305039,PP L.Onça Intenso Zero Açúcar 11G,Produto em Processo,PC
0050305040,"PP Sibionics Choco ao Leite 3,3 g",Produto em Processo,PC
0050308011,Biscoito de castanha do Pará banhado com,Materia Prima,KG
0050308012,BISCOITO DE CASTANHA DO PARÁ COM COBERTU,Produto em Processo,KG
0050309001,Castanha do Pará banhada com chocolate,Produto em Processo,KG
0050309013,Castanha coberta com cupulate,Produto em Processo,KG
0050315004,Recheio Ao Leite Bolo de Chocolate,Produto em Processo,KG
0050315005,Face de Ovo - Chocolate ao Leite,Produto em Processo,UN
0050315006,Face de Ovo Recheada - Maracujá,Produto em Processo,UN
0050315007,Face de Ovo Recheada - Praliné de Avelã,Produto em Processo,UN
0050315008,Face de Ovo Recheada - Cupuaçu,Produto em Processo,UN
0050315009,Face Mini ovo ao Leite,Produto em Processo,PC
0050315010,Face mini Ovo castanha do Pará,Produto em Processo,PC
0050315011,Face do Ovo de 100g - Chocolate ao Leite,SubConjunto,PC
0050321001,Barra 60g Terroir da Amazonia Saka ao le,Produto em Processo,PC
0050321002,Barra 60g Terroir da Amazonia SAKA,Produto em Processo,PC
0050321003,Barra 60g Terroir da Amazonia SAKA CUPU,Produto em Processo,PC
