numero_op,sku_produto_final,descricao_produto,data_registro,data_producao,status,qtd_prevista,qtd_produzida,qtd_saldo
4113,9990311042,Recheio Doce de Cupuaçu,2026-05-21,2026-05-20,Produzida,0.7,0.7,0
4094,05004057,Barra ES ao Leite Praliné de Avelã 80g,2026-05-20,2026-05-20,Produzida,80,80,0
4120,9990311025,Ganache Chocolate intenso,2026-05-21,2026-05-20,Produzida,0.3,0.3,0
4109,9990315022,Massa de trufa Intenso,2026-05-20,2026-05-20,Produzida,2,2,0
4108,05104020,Trufas Nativas de Chocolate Intenso  20G,2026-05-20,2026-05-20,Produzida,119,118,1
4107,9990311013,Ganache de Taperebá,2026-05-20,2026-05-20,Produzida,0.3,0.3,0
4106,05104039,Bombom SF Ganache de Taperebá Int 10g,2026-05-20,2026-05-20,Produzida,51,51,0
4105,0050305032,Barra Recheada Maracujá 29g,2026-05-20,2026-05-20,Produzida,1,1,0
4104,05004142,Barra ES Chocolate Lt Maracujá 29g,2026-05-22,2026-05-20,Produzida,150,142,8
4098,05104122,Teste Industrial,2026-05-20,2026-05-20,Produzida,40,40,0
4121,05104113,Bombom NM Chocolate ao Leite 11g,2026-05-21,2026-05-20,Produzida,18,18,0
4125,9990311013,Ganache de Taperebá,2026-05-21,2026-05-20,Produzida,0.2,0.2,0
4123,05104115,Bombom NM Choc Lt  Doce de Cupuaçu 10g,2026-05-21,2026-05-20,Produzida,36,36,0
4164,0050321013,Barras com recheios - 80g  com praliné,2026-05-26,2026-05-20,Produzida,150,125,25
4165,05104082,Barra Recheada Avelã Granel 80g,2026-05-26,2026-05-20,Produzida,5,5,0
4161,05104039,Bombom SF Ganache de Taperebá Int 10g,2026-05-26,2026-05-20,Produzida,22,22,0
4168,05104122,Teste Industrial,2026-05-26,2026-05-20,Produzida,109,109,0
4144,9990311025,Ganache Chocolate intenso,2026-05-22,2026-05-20,Produzida,0.3,0.3,0
4143,05104071,Bombom Bom Jardim Intenso 10g,2026-05-22,2026-05-20,Produzida,39,39,0
4141,05104008,Bombom ao Leite Praliné 10g,2026-05-22,2026-05-20,Produzida,17,17,0
4140,05104007,Bombom Intenso Praliné 10g,2026-05-22,2026-05-20,Produzida,14,14,0
4139,05104012,Bombom SF Leite Praliné de Pistache 10g,2026-05-22,2026-05-20,Produzida,28,28,0
4122,05104114,Bombom NM Chocolate Leite Pistache 10g,2026-05-21,2026-05-20,Produzida,18,18,0
4137,05104059,Bombom SF Doce de Cupuaçu 10g,2026-05-22,2026-05-20,Produzida,31,31,0
4135,05104119,Bombom Mini Lua Cheia Choco ao Leite 10g,2026-05-22,2026-05-20,Produzida,61,61,0
4134,0050305026,Mini Lua Cheia Ao Leite 10g,2026-05-22,2026-05-20,Produzida,311,311,0
4132,9990311020,Ganache Açaí,2026-05-22,2026-05-20,Produzida,0.15,0.15,0
4131,05104036,Bombom SF Açaí 10g,2026-05-22,2026-05-20,Produzida,28,28,0
4126,05104117,Bombom NM Chocolate LT Maracujá 9g,2026-05-21,2026-05-20,Produzida,36,36,0
4124,05104116,Bombom NM Chocolate Intenso Taperebá 10g,2026-05-21,2026-05-20,Produzida,36,36,0
4127,9990311041,Ganache maracujá,2026-05-21,2026-05-20,Produzida,0.2,0.2,0
4128,05104118,Bombom NM Choc Lt Castanha do Pará 8g,2026-05-21,2026-05-20,Produzida,24,24,0
4085,0050308011,Biscoito de castanha do Pará banhado com,2026-05-20,2026-05-19,Produzida,15,15,0
4083,0020315004,Cobertura Bolo de Chocolate,2026-05-19,2026-05-19,Produzida,1.4,1.4,0
4082,0020315003,Recheio Intenso Bolo de Chocolate,2026-05-19,2026-05-19,Produzida,0.46,0.92,-0.46
4078,05104122,Teste Industrial,2026-05-19,2026-05-19,Produzida,36,37,-1
4079,05104122,Teste Industrial,2026-05-19,2026-05-19,Produzida,90,89,1
4086,0050308014,Biscoito 150 gr com choco,2026-05-20,2026-05-19,Produzida,100,100,0
4076,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,2026-05-19,2026-05-19,Produzida,30,30,0
4073,05104122,Teste Industrial,2026-05-19,2026-05-19,Produzida,40,26,14
4053,0020315002,Massa Do Bolo de Chocolate,2026-05-19,2026-05-19,Produzida,1.7,3.4,-1.7
4052,0020315001,Bolo de Chocolate Loja,2026-05-19,2026-05-19,Produzida,2,2,0
4081,05104122,Teste Industrial,2026-05-19,2026-05-19,Produzida,104,104,0
4090,05104026,Língua de Onça Chocolate ao Leite 11g,2026-05-20,2026-05-19,Produzida,100,100,0
4080,05104122,Teste Industrial,2026-05-19,2026-05-19,Produzida,56,56,0
4092,05104027,Língua de Onça Chocolate Intenso 11g,2026-05-20,2026-05-19,Produzida,100,100,0
4091,0050305014,PP LÍNGUA DE ONÇA 11G AO LEITE,2026-05-20,2026-05-19,Produzida,100,100,0
4102,0050305019,PP LÍNGUA DE ONÇA CUPUAÇU 11G,2026-05-20,2026-05-19,Produzida,94,94,0
4093,0050305017,PP LÍNGUA DE ONÇA 11G INTENSO,2026-05-20,2026-05-19,Produzida,100,100,0
4095,0050321013,Barras com recheios - 80g  com praliné,2026-05-20,2026-05-19,Produzida,80,80,0
4228,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,2026-05-29,2026-05-19,Produzida,4896,4896,0
4096,05004143,Barra ES Chocolate Lt Pistache 29g,2026-05-22,2026-05-19,Produzida,150,220,-70
4097,0050305034,Barra Recheada Pistache 29g,2026-05-20,2026-05-19,Produzida,1,1,0
4178,9990311038,Recheio Caramelo Maracujá,2026-05-27,2026-05-19,Produzida,8.29,8.29,0
4101,05004141,Língua de Onça Cupulate Flowpack 11g,2026-05-22,2026-05-19,Produzida,94,94,0
4176,0020305008,Massa de Chocolate - Mocajuba Intenso,2026-05-27,2026-05-18,Produzida,40,40,0
4055,05004097,Barra ES Leite com Avelã e Maracujá 80g,2026-05-18,2026-05-18,Produzida,81,81,0
4070,05104060,Língua de Onça Chocolate ao Leite 5g,2026-05-18,2026-05-18,Produzida,100,100,0
4177,0020304004,Liquor de Cacau - Mocajuba (PA),2026-05-27,2026-05-18,Produzida,22,22,0
4089,0100305002,Massa Paiter Ao Leite Teste,2026-05-20,2026-05-16,Produzida,1,1,0
4152,0050321022,Barra 60g Terroir da Amazonia Kunkuni,2026-05-26,2026-05-15,Produzida,120,104,16
4071,0050305013,PP LÍNGUA DE ONÇA 5G AO LEITE,2026-05-18,2026-05-15,Produzida,100,100,0
4074,0020305008,Massa de Chocolate - Mocajuba Intenso,2026-05-19,2026-05-15,Produzida,12,12,0
4075,0020304004,Liquor de Cacau - Mocajuba (PA),2026-05-19,2026-05-15,Produzida,6.6,6.6,0
4088,0100305001,Massa Paiter Intenso Teste,2026-05-20,2026-05-15,Produzida,1,1,0
3163,05104007,Bombom Intenso Praliné 10g,2026-05-18,2026-05-14,Produzida,55,55,0
4027,05004043,Formigueiro Caramelo de Maracujá Cx 80g,2026-05-14,2026-05-14,Produzida,43,43,0
4036,0050305009,Massa de Chocolate - Chocolate 60% - Sak,2026-05-19,2026-05-14,Produzida,10,10,0
4037,9990311030,Praliné de Avelã colagem,2026-05-14,2026-05-14,Produzida,7.376,7.376,0
4040,9990311030,Praliné de Avelã colagem,2026-05-14,2026-05-14,Produzida,7.826,7.826,0
4041,9990311031,Praliné Pistache colagem,2026-05-14,2026-05-14,Produzida,6.146,6.146,0
4043,9990311031,Praliné Pistache colagem,2026-05-14,2026-05-14,Produzida,8.471,8.471,0
4044,9990311031,Praliné Pistache colagem,2026-05-14,2026-05-14,Produzida,8.611,8.611,0
4045,9990311031,Praliné Pistache colagem,2026-05-14,2026-05-14,Produzida,7.891,7.891,0
4046,05004097,Barra ES Leite com Avelã e Maracujá 80g,2026-05-14,2026-05-14,Produzida,80,77,3
4047,05104081,Barra Recheada Maracujá Granel 80g,2026-05-14,2026-05-14,Produzida,3,3,0
4049,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,2026-05-14,2026-05-14,Produzida,38,38,0
4072,05104059,Bombom SF Doce de Cupuaçu 10g,2026-05-19,2026-05-14,Produzida,84,84,0
4054,9990311045,Calda Bolo de Chocolate,2026-05-19,2026-05-14,Produzida,0.6,0.6,0
4084,0050315004,Recheio Ao Leite Bolo de Chocolate,2026-05-19,2026-05-14,Produzida,1.84,1.84,0
4056,0050321024,Barra 80 GR  Caram de Maracujá+praliné,2026-05-18,2026-05-14,Produzida,220,203,17
4138,05104096,Bombom SF Castanha-do-Pará 10g,2026-05-22,2026-05-14,Produzida,29,64,-35
4068,05104081,Barra Recheada Maracujá Granel 80g,2026-05-18,2026-05-14,Produzida,2,2,0
4067,9990311036,Ganache Cupuaçu,2026-05-18,2026-05-14,Produzida,0.3,0.3,0
4065,05104018,"Bombom SF Leite Ganache de Cupuaçu 7,7g",2026-05-18,2026-05-14,Produzida,84,84,0
4064,05104012,Bombom SF Leite Praliné de Pistache 10g,2026-05-18,2026-05-14,Produzida,45,45,0
4062,05104016,"Bombom SF Leite Ganache de Maracujá 7,7g",2026-05-18,2026-05-14,Produzida,47,47,0
4063,9990311041,Ganache maracujá,2026-05-18,2026-05-14,Produzida,0.22,0.22,0
4059,9990311025,Ganache Chocolate intenso,2026-05-18,2026-05-14,Produzida,0.15,0.15,0
4077,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,2026-05-19,2026-05-14,Produzida,2080,2091,-11
4058,05104071,Bombom Bom Jardim Intenso 10g,2026-05-18,2026-05-14,Produzida,24,24,0
4057,05104008,Bombom ao Leite Praliné 10g,2026-05-18,2026-05-14,Produzida,50,50,0
4060,05104022,Trufas Nativas Pistache 20g,2026-05-18,2026-05-14,Produzida,54,54,0
4061,9990315024,Massa de trufa de Pistache,2026-05-18,2026-05-14,Produzida,1,1,0
4019,05004016,MAGIO Lg de Onça Lt Praliné Avelã Cx80g,2026-05-13,2026-05-13,Produzida,150,144,6
4039,9990311030,Praliné de Avelã colagem,2026-05-14,2026-05-13,Produzida,7.876,7.876,0
4050,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,2026-05-14,2026-05-13,Produzida,3168,3168,0
4033,0080302002,Amêndoa de Cupuaçu Torrada - Santa Bárba,2026-05-13,2026-05-13,Produzida,25,25,0
4011,0080305004,Massa de  Cupuaçu - Santa Bárbara (PA),2026-05-13,2026-05-13,Produzida,25,25,0
4012,0080303003,Nibs de Cupuaçu - Santa Bárbara (PA),2026-05-13,2026-05-13,Produzida,58,58,0
4014,0020302002,Amêndoa de Cacau Torrada - Mocajuba (PA),2026-05-12,2026-05-12,Produzida,7.92,7.92,0
3994,05004097,Barra ES Leite com Avelã e Maracujá 80g,2026-05-12,2026-05-12,Produzida,80,79,1
4001,9990315024,Massa de trufa de Pistache,2026-05-12,2026-05-12,Produzida,0.6,0.6,0
4004,0260305001,Massa de Chocolate - Moju Intenso,2026-05-12,2026-05-12,Produzida,3.798,3.798,0
4005,0070305011,Massa de Chocolate Intenso Yanomami 63%,2026-05-12,2026-05-12,Produzida,4.176,4.176,0
4006,0070304004,Liquor de Cacau - Yanomami (RR),2026-05-12,2026-05-12,Produzida,2.3,2.3,0
4008,0210305004,Massa  de Cupuaçu - Sakaguchi,2026-05-12,2026-05-12,Produzida,14,14,0
4030,05104033,Formigueiro Caramelo de Maracujá 16g,2026-05-13,2026-05-12,Produzida,65,65,0
4029,9990311009,Recheio Yara Maracujá,2026-05-13,2026-05-12,Produzida,1.1,1.1,0
4003,0020303003,Nibs de Cacau - Mocajuba (PA),2026-05-12,2026-05-12,Produzida,7.2,7.2,0
4009,0050308012,BISCOITO DE CASTANHA DO PARÁ COM COBERTU,2026-05-12,2026-05-12,Produzida,15,15,0
3923,0210303001,Nibs de Cupuaçu - Sakaguchi,2026-05-12,2026-05-12,Produzida,100,100,0
2046,0050321024,Barra 80 GR  Caram de Maracujá+praliné,2026-05-14,2026-05-12,Produzida,80,80,0
4028,0050305025,FORMIGUEIRO MARACUJÁ 16g,2026-05-13,2026-05-12,Produzida,280,280,0
4020,0050305010,PP LÍNGUA DE ONÇA 5G PRALINÉ,2026-05-12,2026-05-12,Produzida,2304,2304,0
4010,0050308015,Biscoito 150 gr com Cupu,2026-05-12,2026-05-12,Produzida,100,100,0
4038,9990311043,Praliné de Avelã,2026-05-14,2026-05-11,Produzida,19,19,0
4205,9990315026,Polpa de Cupuaçu Reduzida,2026-05-27,2026-05-11,Produzida,0.692,0.692,0
4002,0050305006,MASSA DE CHOCOLATE -AO LEITE   NF24,2026-05-12,2026-05-11,Produzida,100,100,0
4042,9990311004,Praliné Pistache,2026-05-14,2026-05-11,Produzida,25,25,0
3991,05104026,Língua de Onça Chocolate ao Leite 11g,2026-05-11,2026-05-11,Produzida,60,60,0
3974,05004149,Caixa de Bombons G (30 bombons),2026-05-11,2026-05-11,Produzida,10,10,0
3992,0050305014,PP LÍNGUA DE ONÇA 11G AO LEITE,2026-05-11,2026-05-11,Produzida,60,60,0
3981,05104113,Bombom NM Chocolate ao Leite 11g,2026-05-11,2026-05-08,Produzida,20,20,0
3979,9990311025,Ganache Chocolate intenso,2026-05-11,2026-05-08,Produzida,0.12,0.12,0
3978,05104112,Bombom NM Choc Int Ganache Int 11g,2026-05-11,2026-05-08,Produzida,20,20,0
3972,0210305005,Massa de Cupuaçu  Sakaguchi - Reprocesso,2026-05-11,2026-05-08,Produzida,1.18,1.18,0
3975,05104109,Bombom NM Mini Lua Cheia ao Leite 10g,2026-05-11,2026-05-08,Produzida,40,40,0
3899,05004151,Caixa Simples SSAL 216g,2026-05-08,2026-05-08,Produzida,25,25,0
3983,05104114,Bombom NM Chocolate Leite Pistache 10g,2026-05-11,2026-05-08,Produzida,20,20,0
3528,05104110,Bombom NM Choc Lt Praliné de Avelã 9g,2026-05-11,2026-05-08,Produzida,20,20,0
3965,9990315022,Massa de trufa Intenso,2026-05-08,2026-05-08,Produzida,0.7,0.7,0
3977,05104111,Bombom NM Choc Int Praliné de Avelã 9g,2026-05-11,2026-05-08,Produzida,20,20,0
3984,05104115,Bombom NM Choc Lt  Doce de Cupuaçu 10g,2026-05-11,2026-05-08,Produzida,40,40,0
3976,0050305026,Mini Lua Cheia Ao Leite 10g,2026-05-11,2026-05-08,Produzida,40,40,0
3986,05104116,Bombom NM Chocolate Intenso Taperebá 10g,2026-05-11,2026-05-08,Produzida,40,40,0
3985,9990311042,Recheio Doce de Cupuaçu,2026-05-11,2026-05-08,Produzida,0.22,0.22,0
4000,05104022,Trufas Nativas Pistache 20g,2026-05-12,2026-05-08,Produzida,35,35,0
3998,05104020,Trufas Nativas de Chocolate Intenso  20G,2026-05-12,2026-05-08,Produzida,26,26,0
3997,05104121,"Poltrona Ilustre 4,5g",2026-05-11,2026-05-08,Produzida,132,132,0
3999,9990315022,Massa de trufa Intenso,2026-05-12,2026-05-08,Produzida,0.5,0.5,0
3993,05104118,Bombom NM Choc Lt Castanha do Pará 8g,2026-05-11,2026-05-08,Produzida,40,40,0
3990,9990311041,Ganache maracujá,2026-05-11,2026-05-08,Produzida,0.22,0.22,0
3989,05104117,Bombom NM Chocolate LT Maracujá 9g,2026-05-11,2026-05-08,Produzida,40,40,0
3987,9990311013,Ganache de Taperebá,2026-05-11,2026-05-08,Produzida,0.22,0.22,0
3995,0050321024,Barra 80 GR  Caram de Maracujá+praliné,2026-05-12,2026-05-08,Produzida,80,79,1
3959,0050305014,PP LÍNGUA DE ONÇA 11G AO LEITE,2026-05-08,2026-05-07,Produzida,828,828,0
3947,05004102,Lua Cheia Minis Chocolate ao Leite 100g,2026-05-07,2026-05-07,Produzida,30,27,3
3954,05104071,Bombom Bom Jardim Intenso 10g,2026-05-07,2026-05-07,Produzida,55,55,0
3955,9990311025,Ganache Chocolate intenso,2026-05-07,2026-05-07,Produzida,0.3,0.3,0
3957,0050305036,Massa de Chocolate ao Leite - Colagem,2026-05-11,2026-05-07,Produzida,2.8,2.8,0
3958,05004139,Língua de Onça Leite Flowpack 11g,2026-05-11,2026-05-07,Produzida,828,825,3
3949,05104007,Bombom Intenso Praliné 10g,2026-05-07,2026-05-07,Produzida,55,55,0
3950,05104008,Bombom ao Leite Praliné 10g,2026-05-07,2026-05-07,Produzida,55,55,0
3971,0050305015,PP LÍNGUA DE ONÇA 11G PRALINÉ,2026-05-11,2026-05-07,Produzida,1200,1180,20
4025,05104122,Teste Industrial,2026-05-13,2026-05-07,Produzida,3,3,0
3964,05104020,Trufas Nativas de Chocolate Intenso  20G,2026-05-08,2026-05-07,Produzida,40,40,0
4026,05104122,Teste Industrial,2026-05-13,2026-05-07,Produzida,6,6,0
3970,05004017,Língua de Onça Leit Praliné Flowpack 11g,2026-05-11,2026-05-07,Produzida,1180,1180,0
3966,05104022,Trufas Nativas Pistache 20g,2026-05-08,2026-05-07,Produzida,40,40,0
3953,05104012,Bombom SF Leite Praliné de Pistache 10g,2026-05-07,2026-05-07,Produzida,47,47,0
3967,9990315024,Massa de trufa de Pistache,2026-05-08,2026-05-07,Produzida,0.7,0.7,0
3963,0050305021,PP Língua de Onça intenso Praliné 11G,2026-05-08,2026-05-06,Produzida,1044,1044,0
3948,0050305026,Mini Lua Cheia Ao Leite 10g,2026-05-07,2026-05-06,Produzida,300,270,30
3951,05104039,Bombom SF Ganache de Taperebá Int 10g,2026-05-07,2026-05-06,Produzida,47,47,0
3942,9990315022,Massa de trufa Intenso,2026-05-06,2026-05-06,Produzida,0.7,0.7,0
3940,9990315024,Massa de trufa de Pistache,2026-05-06,2026-05-06,Produzida,0.7,0.7,0
3939,05104022,Trufas Nativas Pistache 20g,2026-05-06,2026-05-06,Produzida,40,40,0
3952,9990311013,Ganache de Taperebá,2026-05-07,2026-05-06,Produzida,0.3,0.3,0
4023,05104122,Teste Industrial,2026-05-13,2026-05-06,Produzida,30,30,0
3941,05104020,Trufas Nativas de Chocolate Intenso  20G,2026-05-06,2026-05-06,Produzida,40,40,0
3961,05004138,Língua de Onça Int Praliné Flowpack 11g,2026-05-11,2026-05-06,Produzida,1044,1044,0
2494,05004140,Língua de Onça Intenso Flowpack 11g,2026-05-08,2026-05-05,Produzida,2085,2085,0
4022,05104122,Teste Industrial,2026-05-13,2026-05-05,Produzida,0.5,1,-0.5
3936,05104033,Formigueiro Caramelo de Maracujá 16g,2026-05-05,2026-05-05,Produzida,50,50,0
3938,05104121,"Poltrona Ilustre 4,5g",2026-05-05,2026-05-05,Produzida,350,350,0
3933,05004043,Formigueiro Caramelo de Maracujá Cx 80g,2026-05-05,2026-05-05,Produzida,50,49,1
3945,0050305017,PP LÍNGUA DE ONÇA 11G INTENSO,2026-05-07,2026-05-05,Produzida,2085,2085,0
3944,0020304004,Liquor de Cacau - Mocajuba (PA),2026-05-07,2026-05-04,Produzida,8,8,0
3943,0020305008,Massa de Chocolate - Mocajuba Intenso,2026-05-07,2026-05-04,Produzida,15,15,0
3931,05004047,Biscoito Cast. Pará Chocolate 60% 150g,2026-05-04,2026-05-04,Produzida,50,50,0
4021,05104122,Teste Industrial,2026-05-13,2026-05-04,Produzida,20,20,0
