sku,descricao,data_saida,data_entrada,documento,almoxarifado_origem,almoxarifado_destino,quantidade,lote
05004043,Formigueiro Caramelo de Maracujá Cx 80g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,2,050010404T000050626
05004047,Biscoito Cast. Pará Chocolate 60% 150g,2026-07-20,2026-07-20,4354,Almox_SP_Loja,Almox_SP_Fabrica,2,0500104002000050226
05004047,Biscoito Cast. Pará Chocolate 60% 150g,2026-07-20,2026-07-20,4355,Almox_SP_Fabrica,Almox_SP_Processo,2,0500104002000050226
05004047,Biscoito Cast. Pará Chocolate 60% 150g,2026-07-20,2026-07-20,4361,Almox_SP_Processo,Almox_SP_Fabrica,5,0500104002000050226
05004047,Biscoito Cast. Pará Chocolate 60% 150g,2026-07-20,2026-07-20,4365,Almox_SP_Fabrica,Almox_SP_Loja,5,0500104002000050226
05004047,Biscoito Cast. Pará Chocolate 60% 150g,2026-07-22,2026-07-22,4397,Almox_SP_Fabrica,Almox_SP_Ativacao,2,0500104002000050226
05004048,Biscoito Cast. Pará Cupulate 70% 150g,2026-07-22,2026-07-22,4397,Almox_SP_Fabrica,Almox_SP_Ativacao,5,050010405A000010226
05004056,Barra ES Leite Praliné de Pistache 80g,2026-07-20,2026-07-20,4356,Almox_SP_Processo,Almox_SP_Fabrica,64,050010404M000050626
05004056,Barra ES Leite Praliné de Pistache 80g,2026-07-22,2026-07-22,4397,Almox_SP_Fabrica,Almox_SP_Ativacao,6,0050405600005232026
05004057,Barra ES ao Leite Praliné de Avelã 80g,2026-07-20,2026-07-20,4353,Almox_SP_Processo,Almox_SP_Fabrica,140,050010400Q000050526
05004057,Barra ES ao Leite Praliné de Avelã 80g,2026-07-22,2026-07-22,4398,Almox_SP_Ativacao,Almox_SP_Fabrica,3,0050405700005072026
05004058,Barra ES Intenso Praliné de Avelã 80g,2026-07-21,2026-07-21,4380,Almox_SP_Processo,Almox_SP_Fabrica,75,020010406B000000426
05004058,Barra ES Intenso Praliné de Avelã 80g,2026-07-21,2026-07-21,4382,Almox_SP_Processo,Almox_SP_Fabrica,1,020010406B000000426
05004058,Barra ES Intenso Praliné de Avelã 80g,2026-07-22,2026-07-22,4398,Almox_SP_Ativacao,Almox_SP_Fabrica,2,0020405800000052026
05004097,Barra ES Leite com Avelã e Maracujá 80g,2026-07-20,2026-07-20,4359,Almox_SP_Processo,Almox_SP_Fabrica,7,0500104032000050726
05004097,Barra ES Leite com Avelã e Maracujá 80g,2026-07-22,2026-07-22,4397,Almox_SP_Fabrica,Almox_SP_Ativacao,7,0500104032000050326
05004097,Barra ES Leite com Avelã e Maracujá 80g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,10,0500104032000050326
05004102,Lua Cheia Minis Chocolate ao Leite 100g,2026-07-21,2026-07-21,4381,Almox_SP_Processo,Almox_SP_Fabrica,29,0500104035000050D26
05004102,Lua Cheia Minis Chocolate ao Leite 100g,2026-07-22,2026-07-22,4398,Almox_SP_Ativacao,Almox_SP_Fabrica,1,0500104035000050426
05004102,Lua Cheia Minis Chocolate ao Leite 100g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,1,0500104035000050526
05004138,Língua de Onça Int Praliné Flowpack 11g,2026-07-24,2026-07-24,4403,Almox_SP_Loja,Almox_SP_Ativacao,1,0250413800001012025
05004138,Língua de Onça Int Praliné Flowpack 11g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,11,0200104012000000226
05004139,Língua de Onça Leite Flowpack 11g,2026-07-21,2026-07-21,4373,Almox_SP_Processo,Almox_SP_Fabrica,1198,050010405R000050426
05004139,Língua de Onça Leite Flowpack 11g,2026-07-22,2026-07-22,4384,Almox_SP_Processo,Almox_SP_Fabrica,1078,050010405R000050526
05004139,Língua de Onça Leite Flowpack 11g,2026-07-24,2026-07-24,4403,Almox_SP_Loja,Almox_SP_Ativacao,1,050010405R000050126
05004139,Língua de Onça Leite Flowpack 11g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,9,050010405R000050126
05004140,Língua de Onça Intenso Flowpack 11g,2026-07-24,2026-07-24,4404,Almox_SP_Fabrica,Almox_SP_Loja,3,0200104018000000126
05004141,Língua de Onça Cupulate Flowpack 11g,2026-07-20,2026-07-20,4364,Almox_SP_Processo,Almox_SP_Fabrica,503,050010400K000010226
